"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 18 12:53:19 IST 2024","Thu Apr 18 12:53:33 IST 2024","14522","chromium","test.spec.js","","","","TC_003 - Login the Application with valid credentials",""
"passed","Thu Apr 18 12:53:19 IST 2024","Thu Apr 18 12:53:31 IST 2024","12310","chromium","test.spec.js","","","","TC_001, TC_002 - Verify Forgot your password interface",""
